Company,Valuation,Funding,Select Investors,Country,Continent,Founders
Yuga Labs,$4B,$450M,a16z crypto,United States,North America,"Greg Solano, Wylie Aronow"
Houzz,$4B,$614M,ICONIQ Growth,United States,North America,"Adi Tatarko, Alon Cohen"
BrowserStack,$4B,$250M,Bond,Ireland,Europe,"Ritesh Arora, Nakul Aggarwal"
Clubhouse,$4B,$110M,Andreessen Horowitz, Tiger Global Management,United States,"Paul Davison, Rohan Seth"
ClickUp,$4B,$535M,Andreessen Horowitz, Tiger Global Management,United States,"Zeb Evans, Alex Yurkowski"
Patreon,$4B,$413M,Tiger Global Management,United States,North America,"Jack Conte, Sam Yam"
MEGVII,$4B,$1B,Bank of China Group Investment,China,Asia,"Qi Yin, Wenbin Tang, Yang Mu"
Aurora Solar,$4B,$523M,Coatue, Energize Capital,United States,"Christopher Hopper, Samuel Adeyemo"
Zapier,$4B,$1M,,United States,North America,"Wade Foster, Bryan Helmig, Mike Knoop"
Skims,$4B,$701M,Wellington Management,United States,North America,"Kim Kardashian, Emma Grede, Jens Grede"
Cognition,$4B,$196M,8VC,United States,North America,"Scott Wu, Steven Hao, Walden Yan"
Webflow,$4B,$335M,Y Combinator Continuity Fund,United States,North America,"Vlad Magdalin, Sergie Magdalin, Bryant Chou"
Tekion,$4B,$635M,Dragoneer Investment Group,United States,North America,Jay Vijayan
Saronic,$4B,$845M,Elad Gil,United States,North America,"Doug Lambert, Robert Lehman, Dino Mavrookas, Vibhav Altekar"
Skydance Media,$4B,$675M,Kohlberg Kravis Roberts,United States,North America,David Ellison
The Brandtech Group,$4B,$725M,Chrysalis Investments,United States,North America,David Jones
AlphaSense,$4B,$1B,BDT & MSD Partners, Viking Global Investors,United States,"Jack Kokko, Raj Neervannan"
Radiology Partners,$4B,$2B,Starr Investment Holdings,United States,North America,"Rich Whitney, Dr. Anthony Gabriel"
Inflection AI,$4B,$2B,Bill Gates, Eric Schmidt,United States,"Mustafa Suleyman, Reid Hoffman"
Aptos,$4B,$350M,YZi Labs,United States,North America,"Mo Shaikh, Avery Ching"
insightsoftware,$4B,$799M,Hg,United States,North America,Not Found
Hozon,$4B,$4B,CRRC, Shenzhen Capital Group,China,"Fang Yunzhou, Wang Wenxue"
Meesho,$4B,$1B,B Capital, Fidelity,India,"Vidit Aatrey, Sanjeev Barnwal"
Medlinker,$4B,$762M,Sino Biopharmaceutical,China,Asia,Wang Shirui
Farmers Business Network,$4B,$918M,Fidelity,United States,North America,"Amol Deshpande, Charles Baron"
Yunwang Wandian,$4B,$912M,Shenzhen Capital Group,China,Asia,Not Found
StockX,$4B,$495M,Altimeter Capital,United States,North America,"Josh Luber, Chris Kaufman, Dan Gilbert, Greg Schwartz"
OYO,$4B,$3B,Redsprig Innovation Partners,India,Asia,Ritesh Agarwal
Qontigo,$4B,$720M,General Atlantic,Germany,Europe,Sebastian Ceria
ENOVATE Motors,$4B,$1B,,China,Asia,Hailiang Zhang
Dutchie,$4B,$603M,D1 Capital Partners,United States,North America,"Ross Lipson, Zach Lipson, Sam Ellis"
Articulate,$4B,$2B,General Atlantic,United States,North America,"Adam Schwartz, Katy Beale, Spencer Taggart"
Avride,$4B,$425M,,United States,North America,Arkady Volozh
Harness,$4B,$370M,Norwest Venture Partners,United States,North America,Not Found
Dataiku,$4B,$847M,Wellington Management,United States,North America,"Florian Douetteau, Clément Stenac, Thomas Cabrol, Marc Batty"
Papaya Global,$4B,$440M,Insight Partners,United States,North America,"Eynat Guez, Ruben Drong, Ofer Herman"
Noom,$4B,$659M,Silver Lake,United States,North America,"Saeju Jeong, Artem Petakov"
Goat Group,$4B,$493M,Park West Asset Management,United States,North America,"Eddy Lu, Daishin Sugano"
o9 Solutions,$4B,$533M,Beyond Net Zero,United States,North America,"Sanjiv Sidhu, Chakri Gottemukkala"
Upstox,$4B,$143M,Tiger Global Management,India,Asia,"Ravi Kumar, Kavitha Subramanian, Shrinivas Viswanath, Raghu Kumar"
Relativity,$4B,$125M,Silver Lake,United States,North America,"Andrew Sieja, Tim Ellis, Jordan Noon"
WHOOP,$4B,$404M,SoftBank Vision Fund,United States,North America,Will Ahmed
SpotOn,$4B,$918M,Dragoneer Investment Group,United States,North America,"Matt Hyman, Zach Hyman, John, Doron Friedman"
Learneo,$4B,$492M,Wellington Management,United States,North America,Andrew Grauer
Aptean,$4B,$50M,Clearlake Capital Group,United States,North America,Not Found
Ottobock,$4B,$0,EQT,Germany,Europe,"Dr Max Näder, Otto Bock"
Handshake,$4B,$434M,Coatue, Valiant Peregrine Fund,United States,Not Found
Rec Room,$4B,$294M,Coatue,United States,North America,"Nick Fajt, Bilal Orhan, Cameron Brown, Dan Kroymann, John Bevis, Josh Wehrly"
Chargebee,$4B,$468M,Peak XV Partners, Tiger Global Management,United States,"Krish Subramanian, Rajaraman Santhanam, Saravanan KP, Thiyagarajan Thiyagu"
Highspot,$4B,$643M,B Capital, D1 Capital Partners,United States,"Robert Wahbe, Oliver Sharp, David Wortendyke"
Mirakl,$4B,$948M,Silver Lake,France,Europe,"Philippe Corrot, Adrien Nussenbaum"
Via,$4B,$887M,83North,United States,North America,"Daniel Ramot, Oren Shoval"
ApplyBoard,$4B,$480M,Ontario Teachers' Pension Plan,Canada,North America,"Martin Basiri, Massi Basiri, Meti Basiri"
Celestia,$4B,$157M,Bain Capital Crypto,Liechtenstein,Europe,"Mustafa Al-Bassam, Ismail Khoffi, John Adler"
Chainguard,$4B,$612M,IVP, Kleiner Perkins,United States,"Dan Lorenc, Matt Moore, Scott Nichols, Ville Aikas, Kim Lewandowski"
Vultr,$4B,$333M,AMD Ventures, LuminArx Capital Management LP,United States,David Aninowsky
Aledade,$4B,$678M,Lightspeed Venture Partners,United States,North America,"Farzad Mostashari, Mat Kendall"
Rokt,$4B,$487M,Tiger Global Management,United States,North America,"Ben Voltz, Bruce Buchanan, Justin Viles"
Mercury,$4B,$452M,Sequoia Capital,United States,North America,Immad Akhund
Cribl,$4B,$602M,Google Ventures,United States,North America,Clint Sharp
GrubMarket,$4B,$549M,301,United States,North America,"Mike Xu, Brian Harms"
Innovaccer,$3B,$654M,Mubadala Capital Ventures,United States,North America,"Abhinav Shashank, Kanav Hasija, Sandeep Gupta"
Unacademy,$3B,$789M,Temasek Holdings,India,Asia,"Gaurav Munjal, Hemesh Singh, Roman Saini"
Baichuan Intelligence,$3B,$740M,Alibaba Group, Tencent,China,Xiaochuan Wang
GoStudent,$3B,$780M,Prosus & Naspers,Austria,Europe,"Felix Ohswald, Gregor Müller"
MoonPay,$3B,$651M,Coatue, Tiger Global Management,United States,"Ivan Soto-Wright, Victor Faramond"
Hive Box,$3B,$1B,Asia Forge (Cayman), Trustbridge Partners,China,"Wei Wang, Yubin Xu"
HighRadius,$3B,$475M,D1 Capital Partners, Tiger Global Management,United States,Sashi Narahari
ReliaQuest,$3B,$830M,EQT, FTV Capital,United States,Brian Murphy
Starburst,$3B,$414M,Alkeon Capital,United States,North America,"Justin Borgman, Kamil Bajda Pawlikowski, David Phillips, Dain Sundstrom, Martin Traverso, Lukasz Osipiuk, Matt Fuller, Wojciech Biela, Piotr Findeisen, Anu Sudarsan, Grzegorz Kokosinski, Karol Sobczak"
Youxia Motors,$3B,$1B,Gezhi Asset Management,China,Asia,Not Found
Starling Bank,$3B,$956M,Goldman Sachs,United Kingdom,Europe,Anne Boden
Zhizi Automobile,$3B,$150M,Enterprise Mixed Ownership Reform Fund, SASAC,China,DECH FutureAutomobileTechnology Co
Together AI,$3B,$534M,Alumni Ventures, General Catalyst,United States,"Ce Zhang, Vipul Ved Prakash, Percy Liang, Chris Re"
Uber Freight,$3B,$1B,Greenbriar Equity Group,United States,North America,Not Found
Moonshot AI,$3B,$2B,Alibaba Group, HSG,China,"Yang Zhilin, Zhou Xinyu, Wu Yuxin"
Spring Health,$3B,$467M,Generation Investment Management,United States,North America,"April Koh, Adam Chekroud"
Komodo Health,$3B,$514M,Coatue,United States,North America,"Arif Nathoo, Web Sun"
Carbon Health,$3B,$623M,CVS Health Ventures,United States,North America,"Eren Bali, Tom Berry, Greg Burell, Caesar Djavaherian"
Sinovac Life Sciences,$3B,$500M,Sino Biopharmaceutical,China,Asia,Weidong Yin
Tabby,$3B,$604M,Blue Pool Capital, Hassana Investment Company (HIC),United Arab Emirates,"Hosam Arab, Daniil Barkalov"
ElevenLabs,$3B,$281M,Andreessen Horowitz, ICONIQ Growth,United States,"Mati Staniszewski, Piotr Dąbkowski"
MicroPort Medbot,$3B,$747M,Hillhouse Investment,China,Asia,Not Found
Du Xiaoman Financial,$3B,$2B,TPG,China,Asia,"Li Yanhong, Zhu Guang"
Zhuzhou CRRC Times Semiconductor,$3B,$28M,Zhuzhou CRRC Times Electric,China,Asia,Not Found
Bilt Rewards,$3B,$563M,Teachers' Venture Growth,United States,North America,Ankur Jain
Vercel,$3B,$563M,Accel,United States,North America,Not Found
Addepar,$3B,$761M,Vitruvian Partners, WestCap,United States,"Joe Lonsdale, Jason Mirra, Eric Poirier"
Blockdaemon,$3B,$431M,Sapphire Ventures, Tiger Global Management,United States,"Konstantin Richter, Arunram Kalaiselvan"
Qi An Xin,$3B,$536M,Everest Venture Capital,China,Asia,"Qi Xiangdong, Xiang Dong Qi"
Wanda E-Commerce,$3B,$975M,WANDA Group,China,Asia,"Wang Jianlin, Tom Gong"
Aiven,$3B,$420M,Eurazeo,Finland,Europe,Not Found
CARS24,$3B,$1B,Global Car Group,India,Asia,"Vikram Chopra, Mehul Agrawal, Gajendra Jangid, Ruchit Agarwal"
Eruditus Executive Education,$3B,$741M,The Rise Fund,India,Asia,"Chaitanya Kalipatnapu, Ashwin Damera"
Blockstream,$3B,$299M,Fulgur Ventures,Canada,North America,"Adam Back, Pieter Wuille, Greg Maxwell"
Thumbtack,$3B,$698M,Qatar Investment Authority,United States,North America,"Marco Zappacosta, Jeremy Tunnell, Jonathan Swanson, Sander Daniels"
Cedar,$3B,$394M,Memorial Hermann Foundation,United States,North America,"Ameen Fadel, Surria Fadel"
Ironclad,$3B,$334M,Franklin Templeton,United States,North America,"Jason Boehmig, Cai Wangwilt"
Retool,$3B,$141M,Sequoia Capital,United States,North America,"David Hsu, John Kodumal"
PsiQuantum,$3B,$1B,Australian Government, Queensland Government,United States,"Jeremy O'Brien, Terry Rudolph, Peter Shadbolt, Mark Thompson"
Beta Technologies,$3B,$1B,Qatar Investment Authority,United States,North America,Kyle Clark
Nuvemshop,$3B,$628M,Insight Partners, Tiger Global Management,Brazil,"Santiago Sosa, Alejandro Vazquez, Martin Palombo, Jose Abuchaem, Alejandro Alfonso"
Zetwerk,$3B,$754M,ARC Investments, Oriental Biotech,India,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary, Rahul Sharma"
Amber Group,$3B,$628M,Fenbushi Capital,Hong Kong,Asia,Tiantian Kullander
Flutterwave,$3B,$474M,B Capital,United States,North America,"Iyinoluwa Aboyeji, Olugbenga Agboola, Adeleke Adekoya"
World,$3B,$244M,Blockchain Capital,Germany,Europe,"Howard Schultz, Jesus Christ, M.Gandhi, W.Churchill, T.Jefferson, M.Teresa, M.Curie, A.Einstein, William Procter, James Gamble, William Colgate, Jeff Bezos"
Tinder,$3B,$0,Benchmark,United States,North America,"Sean Rad, Justin Mateen, Jonathan Badeen"
Cross River Bank,$3B,$775M,Andreessen Horowitz, Eldridge Industries,United States,Gilles Gade
Bird,$3B,$1B,Spark Capital,The Netherlands,Europe,Travis VanderZanden
Anchorage Digital,$3B,$487M,Kohlberg Kravis Roberts,United States,North America,"Diogo Mónica, Nathan McCauley"
LaunchDarkly,$3B,$330M,Lead Edge Capital,United States,North America,"John Kodumal, Edith Harbaugh"
Automattic,$3B,$859M,Alta Park Capital, BlackRock,United States,Matt Mullenweg
Contentful,$3B,$333M,Tiger Global Management,Germany,Europe,"Sascha Konietzke, Paolo Negri"
Calendly,$3B,$351M,OpenView,United States,North America,Tope Awotona
Podium,$3B,$423M,Y Combinator Continuity Fund,United States,North America,"Eric Rea, Dennis Steele"
Lucid Software,$3B,$170M,ICONIQ Growth,United States,North America,"Ben Dilts, Karl Sun"
Wildlife Studios,$3B,$260M,Vulcan Capital,Brazil,South America,"Victor Lazarte, Arthur Lazarte, Michael Mac-Vicar"
Inxeption,$3B,$187M,Schonfeld Strategic Advisors,United States,North America,Farzad Dibachi
FlixBus,$3B,$1B,Canyon Partners,Germany,Europe,"Jochen Engert, André Schwämmlein, Daniel Krauss"
Paytm Mall,$3B,$795M,eBay,India,Asia,Vijay Shekhar Sharma
Age of Learning,$3B,$500M,TPG,United States,North America,Doug Dohring
ofo,$3B,$2B,Alibaba Group,China,Asia,Dai Wei
TradingView,$3B,$389M,Smash Capital,United Kingdom,Europe,"Konstantin Ivanov, Denis Globa, Stan Bokov"
Seismic,$3B,$447M,Permira,United States,North America,"Doug Winter, Ed Calnan, Fred Xie, Marc Romano, Nasser Barghouti"
Groww,$3B,$393M,ICONIQ Growth,India,Asia,"Lalit Keshre, Harsh Jain, Neeraj Singh, Ishan Bansal"
ActiveCampaign,$3B,$360M,Tiger Global Management,United States,North America,Jason VandeBoom
Didi Freight,$3B,$2B,CPE, IDG Capital,China,Not Found
VANCL,$3B,$522M,Jun Lei,China,Asia,Nian Chen
Forter,$3B,$525M,Tiger Global Management,United States,North America,"Alon Shemesh, Michael Reitblat, Liron Damri"
Miaopai,$3B,$775M,SINA Corporation, Weibo,China,"Chan Sheng, Kun Han"
Outschool,$3B,$240M,Bond, Tiger Global Management,United States,"Amir Nathoo, Mikhail Seregine, Nick Grandy"
Lattice,$3B,$330M,Dragoneer Investment Group, Elad Gil,United States,"C. Norman Winningstad, Rahul Sud, Ray Capece, Sandra Smith, Miles Grimshaw, Jason Pressman"
Cato Networks,$3B,$770M,Lightspeed Venture Partners,Israel,Asia,"Shlomo Kramer, Gur Shatz"
KK Group,$3B,$612M,JD.com,China,Asia,Not Found
Grab Financial Group,$3B,$4B,Hanwha Asset Management,Singapore,Asia,"Anthony Tan, Hooi Ling Tan"
Alibaba Music,$3B,$0,,China,Asia,Jack Ma
PingCAP,$3B,$642M,GGV Capital, Sequoia Capital,United States,"Dongxu Huang, Qiu Cui"
Harvey,$3B,$506M,Sequoia Capital,United States,North America,"George Sukornyk, Richard Mauran"
Poolside,$3B,$626M,Bain Capital Ventures,United States,North America,"Jason Warner, Eiso Kant"
Phantom,$3B,$268M,Paradigm, Sequoia Capital,United States,Not Found
LayerZero Labs,$3B,$351M,OpenSea Ventures, The Spartan Group,Canada,"Bryan Pellegrino, Ryan Zarick, Caleb Banister"
Sentry,$3B,$217M,Accel, Bond,United States,"David Cramer, Chris Jennings, Armin Ronacher"
Group14 Technologies,$3B,$649M,Porsche,United States,North America,"Aaron Feaver, Rick Luebbe, Rick Costantino"
iCIMS,$3B,$93M,TA Associates,United States,North America,Colin Day
iFIT,$3B,$580M,L Catterton,United States,North America,"Scott Watterson, Gary E. Stevenson"
Remote,$3B,$496M,SoftBank Vision Fund,United States,North America,"Job van der Voort, Marcelo Lebre"
Runway,$3B,$545M,General Atlantic,United States,North America,"Cristóbal Valenzuela, Anastasis Germanidis, Alejandro Matamala"
Cyera,$3B,$765M,Accel, Sapphire Ventures,United States,"Yotam Segev, Tamar Bar-Ilan"
Sword Health,$3B,$326M,Sapphire Ventures,United States,North America,"Virgílio Bento, Márcio Colunas"
Nord Security,$3B,$209M,Warburg Pincus,Lithuania,Europe,"Tomas Okmanas, Eimantas"
Clio,$3B,$1B,New Enterprise Associates,Canada,North America,"Jack Newton, Rian Gauvreau"
Improbable,$3B,$704M,Metaverse, MultiversX,United Kingdom,Herman Narula
Lionheart Studio,$3B,$9M,Kakao Games, Wemade,South Korea,Kim Jae-young
CMR Surgical,$3B,$1B,Ally Bridge Group, SoftBank Vision Fund,United Kingdom,"Mark Slack, Luke Hares, Martin Frost, Paul Roberts, Keith Marshall"
ABB E-Mobility,$3B,$358M,,,,Not Found
Yipin Fresh,$3B,$659M,Capital Today, Tencent,China,Jianfei Jiang
Souche,$3B,$1B,5Y Capital, Primavera Capital Group,China,Not Found
LY.com,$3B,$2B,Overseas Chinese Town Holdings,China,Asia,Eric Ly
KoBold Metals,$3B,$945M,Durable Capital Partners, T. Rowe Price,United States,"Josh Goldman, Jeff Jurinak, Kurt House"
DuerOS,$3B,$295M,,China,Asia,"Kay Zhu, ray zhong"
Terminus Technologies,$3B,$813M,Microware,China,Asia,Victor Ai
Workrise,$3B,$722M,Baillie Gifford,United States,North America,"Xuan Yong, Mike Witte"
Loft,$3B,$888M,Baillie Gifford,Brazil,South America,"Lukas Gentele, Fabian Kramm, Daniel Thiry"
Eswin Materials,$3B,$1B,Phase II Fund,China,Asia,Not Found
China UnionPay Merchant Services,$3B,$319M,Everbright-IDG Industrial Fund,China,Asia,Not Found
DriveWealth,$3B,$551M,Accel, Insight Partners,United States,Not Found
BharatPe,$3B,$600M,Tiger Global Management,India,Asia,"Ashneer Grover, Shashvat Nakrani"
Motive,$3B,$567M,Insight Partners, Kleiner Perkins,United States,"Shoaib Makani, Ryan Johns, Obaid Khan"
Transmit Security,$3B,$583M,General Atlantic, Insight Partners,United States,"Mickey Boodaei, Rakesh Loonkar"
Sungrow New Energy,$3B,$0,,China,Asia,"Professor Wang Sixin, Cao Renxian"
Zhipu AI,$3B,$1B,Zhongguancun Science City Science,China,Asia,Qi Ruifeng
Crusoe Energy Systems,$3B,$1B,Founders Fund,United States,North America,"Chase Lochmiller, Cully Cavness"
Physics Wallah,$3B,$277M,Hornbill Capital Advisers,India,Asia,"Alakh Pandey, Prateek Maheshwari"
One,$3B,$300M,Ribbit Capital, Walmart,United States,Not Found
Icertis,$3B,$341M,B Capital,United States,North America,"Samir Bodas, Monish Darda"
OakNorth,$3B,$1B,SoftBank Vision Fund,United Kingdom,Europe,"Rishi Khosla, Joel Perlman"
Infra.Market,$3B,$495M,MARS Unicorn Fund,India,Asia,"Aaditya Sharda, Souvik Sengupta, Ankush Sengupta"
Groq,$3B,$1B,Alumni Ventures, BlackRock,United States,Jonathan Ross
Rakuten Securities,$3B,$0,,Japan,Asia,Hiroshi Mikitani
MUSINSA,$3B,$508M,Kohlberg Kravis Roberts,South Korea,Asia,Cho Man Ho
Traveloka,$3B,$1B,PTT Oil and Retail Business Public Company,Indonesia,Asia,"Ferry Unardi, Albert, Derianto Kusuma"
Illumio,$3B,$558M,Thoma Bravo,United States,North America,"Andrew Rubin, P. J. Kirner"
MasterClass,$3B,$461M,Fidelity,United States,North America,"David Rogier, Aaron Rasmussen"
Ualá,$3B,$910M,TelevisaUnivision,Argentina,South America,Pierpaolo Barbieri
Abridge,$3B,$458M,Elad Gil, IVP,United States,Shiv Rao
Avatr,$3B,$2B,Changan Automobile,China,Asia,Mahendra S
Ethos Life,$3B,$414M,SoftBank Vision Fund,United States,North America,"Peter Colis, Lingke Wang"
Nextiva,$3B,$200M,Goldman Sachs Asset Management,United States,North America,Not Found
Thought Machine,$3B,$563M,Temasek Holdings,United Kingdom,Europe,"Paul Taylor, Andrew Tarver"
HiBob,$3B,$574M,Alpha Wave Global, Farallon Capital Management,Israel,"Ronni Zehavi, Israel David"
TravelPerk,$3B,$730M,Atomico, EQT,Spain,"Avi Meir, Javier Suarez, Ron Levin"
Tenstorrent,$3B,$1B,AFW Partners, Samsung Securities,Canada,"Ljubisa Bajic, Milos Trajkovic, Ivan Hamer"
Tridge,$3B,$114M,DS Asset Management,South Korea,Asia,"Hoshik Shin, Kangwook Lee, Minjong Chung"
Figure,$3B,$854M,Intel Capital,United States,North America,Not Found
Karrot Market,$3B,$235M,DST Global,South Korea,Asia,"Paul Kim, Gary Kim"
Backbase,$3B,$127M,Motive Partners,The Netherlands,Europe,"Jouk Pleiter, Gerbert Kaandorp"
Sourcegraph,$3B,$248M,Andreessen Horowitz,United States,North America,"Quinn Slack, Beyang Liu"
Airtel Mobile Commerce BV,$3B,$300M,Mastercard,The Netherlands,Europe,"Sunil Bharti Mittal, Sunil Mittal"
JumpCloud,$3B,$407M,Sapphire Ventures,United States,North America,"Greg Keller, Rajat Bhargava"
project44,$3B,$943M,A.P. Moller Holding, Generation Investment Management,United States,"Jett McCandless, Aron Kestenbaum"
Axonius,$3B,$595M,Accel, Lightspeed Venture Partners,United States,"Dean Sysman, Ofri Shur, Avidor Bartov"
Clari,$3B,$496M,Blackstone Group,United States,North America,"Andy Byrne, Venkat Rangan"
Plume Design,$3B,$697M,SoftBank Vision Fund,United States,North America,"Adam Hotchkiss, Aman Singla, Fahri Diner, Sri Nathan"
Pendo,$3B,$367M,B Capital,United States,North America,Todd Olson
Suning Sports,$3B,$600M,Alibaba Group, Goldman Sachs,China,Zhang Jindong
unico IDtech,$3B,$337M,General Atlantic, SOFTBANK Latin America Ventures,Brazil,"Diego Torres Martins, Paulo Roberto de Alencastro, Rui Jordão"
Moglix,$3B,$472M,Alpha Wave Global, Tiger Global Management,Singapore,Rahul Garg
Quantexa,$3B,$545M,Teachers' Venture Growth,United Kingdom,Europe,"Vishal Kumar Marria, Imamul Hoque, Felix Hoddinott, Richard Seewald"
ManoMano,$3B,$706M,Dragoneer Investment Group,France,Europe,"Philippe De Chanville, Christian Raisson"
Bending Spoons,$3B,$297M,Durable Capital Partners,Italy,Europe,"Francesco Patarnello, Luca Ferrari, Luca Querella, Matteo Danieli, Tomasz Greber"
Fujian Deer Technology,$3B,$480M,National Manufacturing Transformation and Upgrading Fund,China,Asia,Not Found
Jusda,$3B,$356M,China Life Insurance, CICC,China,Not Found
Chainalysis,$3B,$537M,GIC,United States,North America,"Michael Gronager, Jan Møller, Jonathan Levin"
Side,$3B,$264M,Tiger Global Management,United States,North America,Not Found
Somatus,$3B,$465M,Wellington Management,United States,North America,Not Found
SiFive,$3B,$366M,Coatue,United States,North America,"Krste Asanović, Yunsup Lee, Andrew Waterman"
Games24x7,$3B,$75M,Malabar Investment Advisors,India,Asia,"Bhavin Pandya, Vikram Thampy"
Uniphore,$3B,$607M,New Enterprise Associates,United States,North America,"Ravi, Umesh Sachdev"
Sysdig,$3B,$730M,Permira,United States,North America,Loris Degioanni
Fetch,$3B,$582M,Hamilton Lane,United States,North America,Wes Schroll
Varo Bank,$3B,$1B,Warburg Pincus,United States,North America,Colin Walsh
Syniverse,$3B,$753M,Twilio,United States,North America,Not Found
Cambricon Technologies,$3B,$200M,SDIC Venture Capital,China,Asia,Not Found
VistaJet,$3B,$150M,Rhône Group,United States,North America,Thomas Flohr
BYTON,$3B,$1B,Marubeni,China,Asia,"Daniel Kirchert, Carsten Breitfeld"
Flow,$3B,$450M,Andreessen Horowitz,United States,North America,"Adam Neumann, Marc Andreessen"
Mavenir,$3B,$935M,Siris Capital Group,United States,North America,"Rashad Ali, Pardeep Kohli"
Jetti Resources,$3B,$169M,BMW i Ventures,United States,North America,"Andrew Perlman, Mike Outwin"
Immutable Systems,$3B,$277M,Temasek Holdings,Australia,Oceania,"James Ferguson, Robbie Ferguson"
Wormhole,$3B,$225M,,Cayman Islands,North America,"Dan Reecer, Robinson Burkey, Denise Carlin, Tony Jin, Cathy Yoon, Juan Ignacio Frecha, Saeed Badreg, Anthony Ramirez"
Lambda,$3B,$903M,Alumni Ventures, Andra Capital,United States,Stephen Balaban
MiniMax,$3B,$850M,Alibaba Group,China,Asia,Not Found
eToro,$3B,$473M,China Minsheng Financial Holdings,Israel,Asia,"Yoni Assia, Ronen Assia, David Ring"
StackAdapt,$3B,$537M,Teachers' Venture Growth,Canada,North America,"Ildar Shar, Yang Han, Vitaly Pecherskiy"
Celestial AI,$3B,$589M,Fidelity,United States,North America,"David Lazovsky, Michelle Tomasko, Preet Virk"
Peregrine Technologies,$3B,$250M,Sequoia Capital,United States,North America,Not Found
DriveNets,$3B,$587M,D2 Investments,Israel,Asia,"Ido Susan, Hillel Kobrinsky"
Autodoc,$2B,$0,Apollo,Germany,Europe,"Alexej Erdle, Max Wegner, Vitalij Kungel"
Vanta,$2B,$353M,Sequoia Capital,United States,North America,Christina Cacioppo
Electrify America,$2B,$450M,Siemens Financial Services,United States,North America,Not Found
DMALL,$2B,$528M,Industrial Bank,China,Asia,"Xin Han, Jie Lin, Zhang Wenzhong, Zhang Feng"
Enpal,$2B,$644M,TPG,Germany,Europe,"Mario Kohle, Jochen Ziervogel, Viktor Wingert"
Star Charge,$2B,$125M,Hillhouse Investment,Singapore,Asia,Not Found
ABL Space Systems,$2B,$459M,T. Rowe Price,United States,North America,"Harry O'Hanley, Dan Piemont"
HoneyBook,$2B,$498M,Durable Capital Partners,United States,North America,"Oz Alon, Alex Ikonn, Naama Alon"
Physical Intelligence,$2B,$470M,Jeff Bezos, Lux Capital,United States,"Adnan Esmail, Brian Ichter, Karol Hausman, Lachy Groom, Quan Vuong, Sergey Levine"
LogicMonitor,$2B,$943M,Golub Capital, PSG Equity,United States,"Jie Song, Steve Francis"
Carbon,$2B,$683M,Baillie Gifford, Madrone Capital Partners,United States,Not Found
Paxos,$2B,$543M,MercadoLibre,United States,North America,Charles Cascarilla
BitSight,$2B,$398M,Moody's Investors Service,United States,North America,"Stephen Boyer, Nagarjuna Venna"
Exabeam,$2B,$391M,Owl Rock Capital,United States,North America,"Nir Polak, Sylvain Gil, Domingo Mihovilovic"
Wellhub,$2B,$605M,EQT Growth, General Atlantic,United States,"Cesar Carvalho, Vinícius Ferriani"
Accelerant,$2B,$343M,Barings,United Kingdom,Europe,"Jeff Radke, Christopher Lee Smith"
Trumid,$2B,$458M,Point Break Capital Management,United States,North America,"Ronnie Mateo, Mike Sobel"
BrewDog,$2B,$248M,TSG Consumer Partners,United Kingdom,Europe,"James Watt, Martin Dickie"
Yitu Technology,$2B,$401M,Yichang Boyue Investment Management,China,Asia,"Leo Zhu, Lin Chenxi"
Go1,$2B,$414M,Insight Partners,Australia,Oceania,"Vu Tran, Andrew Barnes, Chris Hood"
Beijing Weilan New Energy Technology,$2B,$303M,Chengtong Mixed Reform,China,Asia,"Chen liquan, Yu Huigen"
BGL Group,$2B,$696M,CPP Investments,United Kingdom,Europe,Not Found
Latitude Financial Services,$2B,$0,,Australia,Oceania,Bob
Uptake Technologies,$2B,$218M,Baillie Gifford,United States,North America,"Bradley A. Keywell, Eric Lefkofsky"
Coda,$2B,$715M,GIC, Insight Partners,Singapore,"Shishir Mehrotra, Alex DeNeui"
Greenlight,$2B,$557M,Andreessen Horowitz,United States,North America,Not Found
Headway,$2B,$326M,Spark Capital,United States,North America,"Anton Pavlovsky, Andrew Adams, Jake Sussman, Dan Ross, Kevin Chan"
Mobile Premier League,$2B,$391M,Alameda Research,India,Asia,"Srinivas Kiran, Shubham Malhotra"
Liquid AI,$2B,$293M,AMD Ventures,United States,North America,"Ramin Hasani, Mathias Lechner, Alexander Amini, Daniela Rus"
Story Protocol,$2B,$134M,Andreessen Horowitz,United States,North America,"Jason Zhao, Seung Yoon Lee"
Algolia,$2B,$334M,Lone Pine Capital,United States,North America,"Nicolas Dessaigne, Julien Lemoine"
1inch Labs,$2B,$190M,Amber Group,United States,North America,"Sergej Kunz, Anton Bukov"
UpGrad,$2B,$722M,Temasek Holdings,India,Asia,"Ronnie Screwvala, Phalgun Kompalli, Mayank Kumar, Ravijot Chugh"
Qianxun Spatial Intelligence,$2B,$278M,Beijing State-owned Capital Operations and Management,China,Asia,Not Found
Pattern,$2B,$277M,Knox Lane,United States,North America,"Josh Baran, Melanie Alder, Dave Wright"
Huimin,$2B,$517M,Jinan Industrial Development Group,China,Asia,Zhang Yichun
Current,$2B,$602M,Andreessen Horowitz,United States,North America,Not Found
Bitso,$2B,$315M,Coatue, Tiger Global Management,Mexico,"Daniel Vogel, Ben Peters, Pablo Gonzalez, Enrique Zamudio"
